mean.var.ratio,k,type
1,363.3457232519749,Behavior
2,8.808770792983157,Behavior
3,4.477733644543969,Behavior
4,3.4700311999665283,Behavior
5,2.508490226898525,Behavior
6,2.8755883559998665,Behavior
7,2.5180644078315106,Behavior
8,2.0670884325241623,Behavior
9,1.8655788263188535,Behavior
10,1.8042796304167914,Behavior
11,1.4014420516248935,Behavior
12,1.678467554550885,Behavior
12.5,1.6533442284501494,Behavior
15,1.55377180275568,Behavior
17.5,1.4122478145049029,Behavior
20,1.287634890930838,Behavior
22.5,1.2904540427231483,Behavior
25,1.4466170545832058,Behavior
27.5,1.3391147610912872,Behavior
30,1.253496019502359,Behavior
32.5,1.172412986144525,Behavior
35,1.1083536823748283,Behavior
37.5,1.2717203504665409,Behavior
40,1.0943310679494225,Behavior
42.5,1.3606667033407807,Behavior
45,1.2022942953285525,Behavior
47.5,1.0495828935067537,Behavior
50,1.1048355528887859,Behavior
52.5,1.203009360453768,Behavior
55,0.9609483315097932,Behavior
57.5,1.2771073978681902,Behavior
60,1.0163793191807193,Behavior
62.5,0.968356557515727,Behavior
65,0.9062957038612371,Behavior
67.5,0.9630418383827838,Behavior
70,0.9720121213760284,Behavior
72.5,0.9359667833094453,Behavior
75,0.817143951629236,Behavior
77.5,1.0106108864301315,Behavior
80,1.068677169614685,Behavior
82.5,0.7809263609361459,Behavior
85,0.9273424501371093,Behavior
87.5,0.8944183114276897,Behavior
90,1.0418450756965352,Behavior
92.5,1.0098033679032368,Behavior
95,1.0726030442209602,Behavior
97.5,0.9899060667035053,Behavior
100,0.6749699916532611,Behavior
9.0404040404,246.1740025062739,Transmissibility
11.05050505052,50.46136719445445,Transmissibility
13.0606060606,96.52236898384554,Transmissibility
15.07070707072,54.788145945944095,Transmissibility
17.0808080808,52.26525682290663,Transmissibility
19.09090909092,28.245420190850847,Transmissibility
21.101010101,27.943878488655628,Transmissibility
23.11111111112,29.705959889111273,Transmissibility
25.1212121212,17.49679456937202,Transmissibility
27.13131313132,12.710313010680844,Transmissibility
29.141414141400002,17.281853052561587,Transmissibility
31.15151515152,13.161661887535915,Transmissibility
33.1616161616,11.502186043589107,Transmissibility
35.171717171720005,12.126291716910734,Transmissibility
37.181818181800004,9.693247238616683,Transmissibility
39.19191919192,9.697015662690303,Transmissibility
41.20202020204,9.768552952523308,Transmissibility
43.21212121212,7.596100242608414,Transmissibility
45.22222222224,7.825518579584098,Transmissibility
47.23232323232,7.205040235378016,Transmissibility
49.24242424244,6.557825203747657,Transmissibility
51.252525252519995,8.467187941823452,Transmissibility
53.26262626264,7.181175005623953,Transmissibility
55.272727272720005,6.2222356158361745,Transmissibility
57.28282828283999,5.740869343831684,Transmissibility
59.29292929292,5.361651735043826,Transmissibility
61.30303030304,5.710336863473234,Transmissibility
63.31313131312,5.24793497749984,Transmissibility
65.32323232324,5.178512526961317,Transmissibility
67.33333333332,5.302987209273267,Transmissibility
69.34343434344001,4.781914361413619,Transmissibility
71.35353535352,5.127409686337903,Transmissibility
73.36363636364001,4.6285460981555415,Transmissibility
75.37373737371999,4.74291896491321,Transmissibility
77.38383838384,3.9096724388521467,Transmissibility
79.39393939392,4.135561489528038,Transmissibility
81.40404040404,4.036516721976106,Transmissibility
83.41414141416,3.983527938486407,Transmissibility
85.42424242424,3.8785654880726836,Transmissibility
87.43434343435999,4.091522714775192,Transmissibility
89.44444444444,3.5093996468170148,Transmissibility
91.45454545455999,3.7445036358891053,Transmissibility
93.46464646464,3.39290147993696,Transmissibility
95.47474747476001,3.483454469881474,Transmissibility
97.48484848484,3.26707719092865,Transmissibility
99.49494949496001,3.6800846131722813,Transmissibility
